id	name	type	P1853	P21	born	died	P2031	url	description
227067	Kiyoko Naish	Q5		Q6581072				https://anilist.co/staff/227067	
233407	Manuela Leon	Q5						https://anilist.co/staff/233407	
234665	Zhongguo Guojia Jiaoxiang Yuetuan	Q215380					1956	https://anilist.co/staff/234665	中国国家交响乐. Band.
235891	Shige Oogami	Q5						https://anilist.co/staff/235891	大上繁. Audio Engineer.
237009	Vocal Shop	Q215380					1960	https://anilist.co/staff/237009	ボーカル・ショップ. Band.
238066	Tatsuya Nakadai	Q5		Q6581097	1932-12-13	2025-11-08		https://anilist.co/staff/238066	仲代達矢. Voice Actor. From Tokyo, Japan.
238594	Natsuko Ooi	Q5						https://anilist.co/staff/238594	大井奈津子. Advertiser.
240536	Shigeki Ishikawa	Q5						https://anilist.co/staff/240536	石川茂樹. Producer.
248372	Miyuki Kunisada	Q5		Q6581072				https://anilist.co/staff/248372	國定みゆき.
249630	Oz Ryan	Q5			1995-09-21		2021	https://anilist.co/staff/249630	Voice Actor.
254781	Ballen	Q5						https://anilist.co/staff/254781	발렌. Writer.
267180	Eiji Imanari	Q5		Q6581097				https://anilist.co/staff/267180	今成英司. Producer.
273903	sweet velvet	Q215380					1998	https://anilist.co/staff/273903	Band.
274200	CHARCOAL FILTER	Q215380					1995	https://anilist.co/staff/274200	Band.
274744	Kyo Haneda	Q5						https://anilist.co/staff/274744	
277278	Makiko Ishizaki	Q5		Q6581072				https://anilist.co/staff/277278	Musician.
279875	Hyeon-U Choe	Q5						https://anilist.co/staff/279875	최현우. Writer. From Seoul.
283820	Shosuke Akamatsu	Q5						https://anilist.co/staff/283820	
286888	Suiyoubi no Campanella	Q215380					2012	https://anilist.co/staff/286888	水曜日のカンパネラ. Band.
289050	Storydeo	Q5						https://anilist.co/staff/289050	스토리더. Writer.
294457	kou							https://anilist.co/staff/294457	
295186	Carolina Fuziy Kihara	Q5		Q6581072				https://anilist.co/staff/295186	
301307	TACCHI							https://anilist.co/staff/301307	
302683	Dango Tsukiyono	Q5						https://anilist.co/staff/302683	月夜野だんご. Writer.
306720	Finn Falk	Q5						https://anilist.co/staff/306720	Animator.
308280	NongDarn	Q5						https://anilist.co/staff/308280	Animator.
314296	Hiraga Daidai	Q5		Q6581097				https://anilist.co/staff/314296	平賀だいだい. Mangaka.
314467	OCHA NORMA	Q108424578					2019	https://anilist.co/staff/314467	オチャノーマ. Idol Group.
321369	ulma sound junction	Q215380					2005	https://anilist.co/staff/321369	Band. From Okinawa, Japan.
322561	Kouta Amana	Q5		Q6581097			2017	https://anilist.co/staff/322561	天那コータ. Writer.
323176	Yuu Kousaka	Q5						https://anilist.co/staff/323176	香坂侑. Voice Actor. From Texas, USA.
324168	Gamaliel Quintana	Q5		Q6581097			2022	https://anilist.co/staff/324168	
333608	Ririka Ichijou	Q5		Q6581072	2000-05-12		2025	https://anilist.co/staff/333608	
335438	Uniwii	Q5		Q6581072				https://anilist.co/staff/335438	
335440	ZONA	Q5		Q6581072				https://anilist.co/staff/335440	
335443	Akemi Arlin	Q5		Q6581072				https://anilist.co/staff/335443	
337051	Mark Gatiss	Q5		Q6581097	1966-10-17			https://anilist.co/staff/337051	
343013	Aogiri Koukou	Q5						https://anilist.co/staff/343013	あおぎり高校職員室.
346286	Halloween	Q5					2024	https://anilist.co/staff/346286	할로윈. Writer.
346288	Yeom	Q5						https://anilist.co/staff/346288	염. Artist.
359312	Tsubasa Takabane	Q5		Q6581097				https://anilist.co/staff/359312	高羽ツバサ. Mangaka.
359501	Aki Nishihiro	Q5						https://anilist.co/staff/359501	にしひろあき. Mangaka.
378716	ILLIT	Q215380					2024	https://anilist.co/staff/378716	ILLIT. Band. From Seoul, South Korea.
379335	Jjanggyul	Q5						https://anilist.co/staff/379335	짱귤. Mangaka.
384925	Suzume Inaba	Q5						https://anilist.co/staff/384925	稲葉すずめ. Mangaka.
385659	Sky Santacruz	Q5						https://anilist.co/staff/385659	Voice Actor.
393428	Rei Yayoi	Q5						https://anilist.co/staff/393428	弥生れい. Mangaka.
393429	Chuyuan Guo	Q5						https://anilist.co/staff/393429	郭礎源. Translator.
393433	Kie Otsuki	Q5						https://anilist.co/staff/393433	大月キエ. Mangaka. From Fukuoka, Japan.
393434	Yuta Tomonari	Q5						https://anilist.co/staff/393434	友成ユタ. Mangaka.
393435	Takao	Q5						https://anilist.co/staff/393435	たかお. Mangaka.
393436	Honoka Tsujihara	Q5						https://anilist.co/staff/393436	辻原萌香. Mangaka.
393437	Suien	Q5						https://anilist.co/staff/393437	翠媛. Illustrator.
393440	Kotone Izumi	Q5	Q19831454	Q6581072				https://anilist.co/staff/393440	和泉琴音. Voice Actor. From Saitama Prefecture, Japan.
393441	muzo	Q5						https://anilist.co/staff/393441	Mangaka.
393442	Osya	Q5						https://anilist.co/staff/393442	오샤. Writer.
393443	Mori	Q5						https://anilist.co/staff/393443	모리. Artist.
393444	Mulbeoseot	Q5						https://anilist.co/staff/393444	물버섯. Writer.
393445	Ra-Hyeon Song	Q5						https://anilist.co/staff/393445	송라현. Writer.
393446	Junpil	Q5						https://anilist.co/staff/393446	준필. Writer.
393447	Sophia	Q5						https://anilist.co/staff/393447	소피아. Writer.
393448	Haedal	Q5						https://anilist.co/staff/393448	해달. Artist.
