ID	name	type	URL	P4087	description
32639	Lonely Soldier	Q21198342	https://anilist.co/manga/32639	2639	ロンリー・ソルジャー. 1998 manga. Art: Yuu Asagiri, Story: Hiro Wakamiya
32640	Gurechawanaidene	Q21198342	https://anilist.co/manga/32640	2640	manga. Story: Shinobu Gotou, Art: Gureko Nankin
32641	Mitsuyaku	Q21198342	https://anilist.co/manga/32641	2641	密約. manga. Story: Shinobu Gotou, Art: Kae Maruya
32643	Lover's Pledge	Q21198342	https://anilist.co/manga/32643	2643	恋は契約のあとで. 2005 manga by Kae Maruya
32645	Happy Play	Q21198342	https://anilist.co/manga/32645	2645	ハッピープレイー. 2004 manga by Aya Sugai
32646	Heart	Q21198342	https://anilist.co/manga/32646	2646	ハート. 2002 manga by Nayuna Sakurano
32647	Hitorijime Theory	Q21198342	https://anilist.co/manga/32647	2647	ひとり占めセオリー. 2006 manga by Ren Kitakami
32648	Ijiwaru na Kuchibiru	Q21198342	https://anilist.co/manga/32648	2648	2006 manga by Ryou Sakurai
32649	Inu to Omawari-san	Q21198342	https://anilist.co/manga/32649	2649	manga by Tamaki Kirishima
32650	Crimson	Q21198342	https://anilist.co/manga/32650	2650	manga by Tamaki Kirishima
32651	Kimi dake ni Focus	Q21202185	https://anilist.co/manga/32651	2651	君だけにフォーカス. 2004 one-shot manga. Art: Kae Maruya, Story: Minoru Homiya
32652	How About a Boyfriend?	Q21198342	https://anilist.co/manga/32652	2652	いっそもう、くどきたい！. 2006 manga by Kazuhiko Mishima
32653	Love Neco	Q21198342	https://anilist.co/manga/32653	2653	ラブネコ. 2005 manga by Kazuhiko Mishima
32655	Yakudate Seishun	Q21198342	https://anilist.co/manga/32655	2655	manga by Reno Amagi
32656	Yasashiku Sokubaku Shiteageru	Q21198342	https://anilist.co/manga/32656	2656	優しく束縛してあげる. 2002 manga by Akira Kanbe
32657	You and Harujion	Q21198342	https://anilist.co/manga/32657	2657	君とハルジオン. 2004 manga by Keiko Kinoshita
32658	Your Hand Belongs To Me	Q21198342	https://anilist.co/manga/32658	2658	きみの手はぼくのもの. 2001 manga by Nabako Kamo
32660	Kiss wa Ichinichi Sando Made!?	Q21198342	https://anilist.co/manga/32660	2660	manga by Nabako Kamo
32661	Shachou to Hisho	Q21202185	https://anilist.co/manga/32661	2661	one-shot manga by Nabako Kamo
